Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
Unknown,Mazda 6 Touring,2017.0,Sedan,0.0,Unknown,1249.0,Gas,4,r,2.5,75492,16,21012
Toyota,Unknown,2012.0,Minivan,5.0,Metallic,0.0,Gas,4,r,2.4,220000,7,11917
Hyundai,H1,2009.0,Minivan,0.0,Metallic,1185.0,Diesel,4,r,2.5,50653,4,22433
Opel,Corsa,2012.0,Hatchback,5.0,Jet Black,0.0,Unknown,4,automatic,0,230000,0,5645
Subaru,Outback,2007.0,Hatchback,4.0,Sapphire Blue,0.0,Gas,4,unknown,2.5,131000,4,10976
Volkswagen,My Model Which Is Cc Is  Best,3010.0,Sedan,2.0,Metallic,836.0,Gas,4,unknown,2,66000,12,12900
Unknown,E 200,1999.0,Sedan,2.0,Sapphire Blue,0.0,Gas,4,manual,2,318406,6,6586
Ford,F150,2012.0,Pickup,6.0,Unknown,8526.0,Gas,8,automatic,5,150000,8,42000
Bmw,X6,2011.0,Jeep,3.0,Unknown,0.0,Gas,8,automatic,0,1000,8,28600
Hyundai,H1,2014.0,Minivan,2.0,Metallic,10777.0,Diesel,4,r,2.5,146216,4,30750
Jaguar,Xj,2015.0,Sedan,3.0,Pearl White,1104.0,Gas,6,automatic,3,54429,12,18655
Honda,Fit,2006.0,Hatchback,2.0,Metallic,0.0,Gas,4,automatic,1.3,0,4,18655
Mercedesbenz,A 200,2105.0,Hatchback,2.0,Metallic,0.0,Gas,4,others,2,123456,6,10036
Ford,My Model Which Is Cmax Sel Is  Best,2012.0,Sedan,8.0,Jet Black,640.0,Hybrid,4,unknown,0,174400,16,18189
Honda,Fit,2010.0,Hatchback,3.0,Unknown,0.0,Gas,4,automatic,1.5,206400,6,11917
Hyundai,Elantra,2012.0,Sedan,1.0,Jet Black,0.0,Gas,4,unknown,1.6,25635,12,18655
Nissan,Presage Rider,2012.0,Minivan,3.0,Unknown,0.0,Unknown,4,automatic,2.5,190000,2,7527
